datetime,pred_pm25,cat_pm25,pred_pm10,cat_pm10
2025-07-13 17:00:00,36.784300000000016,Moderate,43.8812,Good
2025-07-13 18:00:00,36.781200000000005,Moderate,44.45769999999999,Good
2025-07-13 19:00:00,38.1014,Moderate,44.956299999999985,Good
2025-07-13 20:00:00,37.56500000000001,Moderate,43.64519999999999,Good
2025-07-13 21:00:00,36.737899999999996,Moderate,42.91669999999997,Good
2025-07-13 22:00:00,36.46059999999999,Moderate,39.89790000000002,Good
2025-07-13 23:00:00,36.04929999999999,Moderate,38.79970000000002,Good
2025-07-14 00:00:00,47.79839999999999,Moderate,53.18190000000001,Moderate
2025-07-14 01:00:00,46.85569999999998,Moderate,51.99110000000002,Moderate
2025-07-14 02:00:00,47.00119999999997,Moderate,51.56760000000002,Moderate
2025-07-14 03:00:00,46.36649999999998,Moderate,55.24340000000001,Moderate
2025-07-14 04:00:00,48.63249999999998,Moderate,56.026900000000005,Moderate
2025-07-14 05:00:00,48.77109999999999,Moderate,56.39520000000002,Moderate
2025-07-14 06:00:00,48.920599999999986,Moderate,61.136799999999994,Moderate
2025-07-14 07:00:00,48.46989999999998,Moderate,54.206100000000006,Moderate
2025-07-14 08:00:00,46.288799999999966,Moderate,54.11220000000002,Moderate
2025-07-14 09:00:00,45.750999999999976,Moderate,50.942400000000006,Moderate
2025-07-14 10:00:00,41.829199999999986,Moderate,45.080699999999986,Good
2025-07-14 11:00:00,41.80209999999998,Moderate,46.2047,Good
2025-07-14 12:00:00,41.48849999999999,Moderate,46.2591,Good
2025-07-14 13:00:00,43.906899999999986,Moderate,48.750800000000005,Good
2025-07-14 14:00:00,45.04949999999998,Moderate,51.6764,Moderate
2025-07-14 15:00:00,45.11819999999997,Moderate,52.081500000000005,Moderate
2025-07-14 16:00:00,45.129299999999965,Moderate,51.85090000000001,Moderate
2025-07-14 17:00:00,45.79339999999998,Moderate,52.811899999999994,Moderate
2025-07-14 18:00:00,45.92959999999997,Moderate,53.089,Moderate
2025-07-14 19:00:00,45.98209999999998,Moderate,52.726200000000006,Moderate
2025-07-14 20:00:00,42.18199999999998,Moderate,48.535,Good
2025-07-14 21:00:00,39.68339999999998,Moderate,44.67050000000002,Good
2025-07-14 22:00:00,39.426599999999965,Moderate,43.79859999999999,Good
2025-07-14 23:00:00,39.08019999999997,Moderate,44.0722,Good
2025-07-15 00:00:00,39.52749999999999,Moderate,43.97429999999999,Good
2025-07-15 01:00:00,41.3996,Moderate,44.57290000000001,Good
2025-07-15 02:00:00,42.1907,Moderate,44.857200000000006,Good
2025-07-15 03:00:00,41.69129999999999,Moderate,44.4842,Good
2025-07-15 04:00:00,35.08270000000002,Moderate,39.9024,Good
2025-07-15 05:00:00,20.803100000000004,Good,27.205299999999983,Good
2025-07-15 06:00:00,22.265,Good,28.35969999999996,Good
2025-07-15 07:00:00,18.153599999999997,Good,24.4151,Good
2025-07-15 08:00:00,12.018100000000002,Good,17.303700000000006,Good
2025-07-15 09:00:00,10.5801,Good,14.218999999999994,Good
2025-07-15 10:00:00,10.267499999999995,Good,13.907399999999994,Good
2025-07-15 11:00:00,9.887099999999997,Good,13.823499999999992,Good
2025-07-15 12:00:00,9.855999999999996,Good,13.927899999999998,Good
2025-07-15 13:00:00,11.076700000000002,Good,13.427299999999995,Good
2025-07-15 14:00:00,12.441200000000006,Good,20.41040000000001,Good
2025-07-15 15:00:00,19.93219999999999,Good,23.769900000000003,Good
2025-07-15 16:00:00,18.060299999999998,Good,23.761599999999984,Good
2025-07-15 17:00:00,18.1938,Good,25.275099999999984,Good
2025-07-15 18:00:00,16.234299999999994,Good,24.931499999999986,Good
2025-07-15 19:00:00,15.253899999999993,Good,22.55999999999999,Good
2025-07-15 20:00:00,12.468999999999994,Good,19.726799999999997,Good
2025-07-15 21:00:00,12.269299999999996,Good,18.7087,Good
2025-07-15 22:00:00,11.113899999999994,Good,18.35270000000001,Good
2025-07-15 23:00:00,11.187399999999991,Good,17.837700000000005,Good
2025-07-16 00:00:00,11.279499999999992,Good,18.806800000000003,Good
2025-07-16 01:00:00,11.362599999999993,Good,18.2085,Good
2025-07-16 02:00:00,11.274799999999995,Good,18.4311,Good
2025-07-16 03:00:00,11.606199999999996,Good,20.41680000000001,Good
2025-07-16 04:00:00,10.962699999999995,Good,17.392600000000005,Good
2025-07-16 05:00:00,10.580699999999995,Good,16.988500000000016,Good
2025-07-16 06:00:00,10.723999999999997,Good,17.734100000000016,Good
2025-07-16 07:00:00,10.2359,Good,18.511200000000002,Good
2025-07-16 08:00:00,10.0178,Good,13.902299999999993,Good
2025-07-16 09:00:00,9.913699999999999,Good,13.55599999999999,Good
2025-07-16 10:00:00,9.885399999999997,Good,13.358699999999992,Good
2025-07-16 11:00:00,9.793199999999999,Good,13.621399999999992,Good
2025-07-16 12:00:00,9.645399999999997,Good,13.576099999999991,Good
2025-07-16 13:00:00,9.091699999999996,Good,12.32709999999999,Good
2025-07-16 14:00:00,10.166300000000001,Good,13.198599999999997,Good
2025-07-16 15:00:00,11.759600000000004,Good,15.045000000000002,Good
2025-07-16 16:00:00,11.1368,Good,20.45710000000002,Good
2025-07-16 17:00:00,11.2422,Good,20.86100000000001,Good
2025-07-16 18:00:00,11.889900000000003,Good,21.073300000000014,Good
2025-07-16 19:00:00,10.544400000000001,Good,20.026800000000012,Good
2025-07-16 20:00:00,9.462000000000003,Good,18.65940000000001,Good
2025-07-16 21:00:00,9.356700000000004,Good,14.177799999999998,Good
2025-07-16 22:00:00,9.049100000000001,Good,13.487600000000002,Good
