datetime,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-07-13 01:00:00+00:00,471.24,0.13,13.29,26.26,1.01,33.22,38.97,5.91
2025-07-13 02:00:00+00:00,491.19,0.2,13.55,27.28,1.18,32.43,38.5,5.71
2025-07-13 03:00:00+00:00,517.52,0.37,14.52,27.51,1.29,32.66,39.03,5.72
2025-07-13 04:00:00+00:00,430.15,0.14,7.76,64.8,1.1,31.89,36.46,3.46
2025-07-13 05:00:00+00:00,425.87,0.12,6.15,75.69,1.21,33.54,36.92,2.94
2025-07-13 06:00:00+00:00,449.14,0.12,5.98,79.99,1.39,35.53,38.11,2.87
2025-07-13 07:00:00+00:00,453.41,0.2,5.17,84.97,1.33,32.88,34.85,2.83
2025-07-13 08:00:00+00:00,432.18,0.24,3.98,91.04,1.21,29.05,30.73,2.86
2025-07-13 09:00:00+00:00,416.76,0.23,3.23,98.9,1.19,28.86,30.43,3.0
2025-07-13 10:00:00+00:00,423.14,0.25,3.61,105.11,1.3,31.68,33.44,3.89
2025-07-13 11:00:00+00:00,443.1,0.26,5.4,102.02,1.49,34.31,36.47,5.02
2025-07-13 12:00:00+00:00,470.93,0.2,8.1,93.81,1.66,35.27,37.77,5.33
